created_at,entry_id,gyroX_dps,gyroY_dps,gyroZ_dps,euclidean_sum_accel
2025-06-17T14:43:08+05:30,1,-7.04,2.07,234.09,1.436
2025-06-17T14:43:28+05:30,2,-7.87,-3.02,228.75,1.437
2025-06-17T14:43:49+05:30,3,-13.17,13.02,247.56,1.434
2025-06-17T14:44:09+05:30,4,-8.51,7.53,226.34,1.356
2025-06-17T14:44:30+05:30,5,-8.75,-6.49,214.54,1.938
2025-06-17T14:44:50+05:30,6,-8.26,4.76,232.87,1.361
2025-06-17T14:45:11+05:30,7,-9.94,6.71,230.82,1.525
2025-06-17T14:45:32+05:30,8,-12.04,10.88,247.07,1.084
2025-06-17T14:45:53+05:30,9,-8.11,1.95,224.51,1.432
2025-06-17T14:46:13+05:30,10,-16.34,6.68,271.74,1.169
2025-06-17T14:46:34+05:30,11,-8.63,4.39,247.23,1.412
2025-06-17T14:46:55+05:30,12,-13.57,11.62,256.83,1.063
2025-06-17T14:47:15+05:30,13,-9.91,14.73,251.01,1.36
2025-06-17T14:47:36+05:30,14,-9.12,2.04,230.64,1.222
2025-06-17T14:47:57+05:30,15,-11.52,8.9,236.46,1.393
2025-06-17T14:48:17+05:30,16,-7.38,1.22,238.14,1.198
2025-06-17T14:48:38+05:30,17,-7.47,1.65,215.46,1.385
2025-06-17T14:48:59+05:30,18,-14.42,-0.12,255.49,1.179
2025-06-17T14:49:19+05:30,19,-12.84,0.46,262.74,1.12
2025-06-17T14:49:40+05:30,20,-8.78,8.96,239.97,0.809
2025-06-17T14:50:01+05:30,21,-11.71,15.7,253.48,0.846
2025-06-17T14:50:22+05:30,22,-9.39,6.77,243.93,1.23
2025-06-17T14:50:42+05:30,23,-8.48,3.08,249.85,1.282
2025-06-17T14:51:03+05:30,24,-14.57,11.34,268.48,1.262
2025-06-17T14:51:24+05:30,25,-11.65,3.75,221.52,1.744
2025-06-17T14:51:44+05:30,26,-8.08,-1.04,217.47,1.063
2025-06-17T14:52:05+05:30,27,-7.35,-12.5,208.57,1.317
2025-06-17T14:52:25+05:30,28,-10.82,1.86,238.75,1.225
2025-06-17T14:52:46+05:30,29,-7.56,2.38,225.34,1.256
2025-06-17T14:53:06+05:30,30,-13.57,-5.88,237.56,1.163
2025-06-17T14:53:27+05:30,31,-11.16,4.3,236.59,1.015
2025-06-17T14:53:48+05:30,32,-9.51,-4.45,227.26,1.39
2025-06-17T14:54:08+05:30,33,-14.54,5.52,251.65,0.998
2025-06-17T14:54:30+05:30,34,-8.41,-9.85,210.67,1.335
2025-06-17T14:54:51+05:30,35,-11.98,3.96,248.26,1.007
2025-06-17T14:55:11+05:30,36,-10.64,-1.19,232.93,1.423
2025-06-17T14:55:32+05:30,37,-8.23,6.13,238.96,0.955
2025-06-17T14:55:53+05:30,38,-8.96,-2.9,224.94,1.196
2025-06-17T14:56:14+05:30,39,-10.18,7.26,228.11,1.533
2025-06-17T14:56:34+05:30,40,-13.87,5.24,253.17,1.03
2025-06-17T14:56:55+05:30,41,-10.09,3.81,242.35,1.153
2025-06-17T14:57:16+05:30,42,-16.83,9.24,266.22,1.29
2025-06-17T14:57:36+05:30,43,-7.68,-8.11,224.51,1.254
2025-06-17T14:57:57+05:30,44,-8.57,-1.19,226.13,1.239
2025-06-17T14:58:18+05:30,45,-5.85,3.96,232.41,1.819
2025-06-17T14:58:38+05:30,46,-14.05,2.9,252.84,0.978
2025-06-17T14:58:59+05:30,47,-9.82,4.18,228.2,1.255
2025-06-17T14:59:19+05:30,48,-10.52,2.41,237.84,1.294
2025-06-17T14:59:40+05:30,49,-7.2,-0.85,228.66,1.125
2025-06-17T15:00:01+05:30,50,-12.93,10.21,255.7,1.241
